feature,chi2,p_value,cramers_v,n_categories
this_passive_evidence,3089.5791789775476,0.0,0.7860762277257274,2
has_nsubj,2943.595769682726,0.0,0.7672803620167437,2
verb_semantic_classes,3356.2807165067074,1.1093916764839388e-290,0.5793341623369631,431
xpos,3166.814923091317,0.0,0.5627446066459737,7
participial,1534.7452477825009,0.0,0.5540298273166347,2
has_aux_pass,1476.677430143284,0.0,0.5434477767262065,2
verbnet_classes,2726.509731905131,1.047814073202777e-174,0.522159911512281,468
has_nsubj_pass,1317.5965914367976,7.718545741915691e-287,0.5133413272739294,2
has_ARG0,1267.9683779845147,4.6149298808891925e-276,0.5035808530880647,2
subj_animate,2362.322873075826,0.0,0.4860373311872069,3
subj_is_pronoun,2338.526744820018,0.0,0.48358316190909895,3
order_type,2321.787451240801,0.0,0.48184929710862934,8
morph_marked,1160.248736608984,1.1355023248751222e-252,0.4817154215112869,2
order_subject_before_verb,2313.934496217612,0.0,0.4810337302328821,3
subj_is_proper_noun,2295.824327593403,0.0,0.4791476106163322,3
obj_is_pronoun,2218.7308789303734,0.0,0.4710340623490379,3
obj_animate,2218.730558803234,0.0,0.47103402836772146,3
obj_is_proper_noun,2218.6722650474117,0.0,0.47102784047733437,3
has_ARG1,966.6660005158126,1.233516792805684e-210,0.4396967137734401,2
order_object_before_verb,1842.929461221452,0.0,0.42929354307064205,3
clause_type,895.4320020332403,3.6258622323342754e-195,0.4231860115914136,2
aux_be,873.7986448009772,1.8073203313729577e-190,0.41804273580603624,2
verbform,1679.6339952902554,0.0,0.4098333802034987,4
aux_lemmas,1429.9737703465687,5.738300427647596e-254,0.3781499398845078,35
tense,1307.1885370476168,9.195767343664761e-282,0.3615506239861324,3
is_stative,591.9215863212065,2.9232144084503894e-129,0.34407022141452653,2
aux_present,570.6818537601625,1.1967680733232064e-124,0.33784074761939614,2
finite,534.203655327022,9.9804503723217e-117,0.3268650043449198,2
nonfinite,534.203655327022,9.9804503723217e-117,0.3268650043449198,2
clause_finiteness,534.203655327022,9.9804503723217e-117,0.3268650043449198,2
is_participial_clause,464.33660923669026,1.4811069894795052e-101,0.3047414015970558,2
obj_definite,873.5987812943207,8.743998933946747e-188,0.2955670450666516,3
prep_complements,833.2154241811882,6.071095308255802e-50,0.28865471140814386,155
conj_passive_evidence,674.4974151719475,1.1145943689932023e-10,0.25971088062920034,229
subject_given,308.8996800833143,8.380824359724695e-68,0.24855570002851043,2
has_agent_obl_agent,306.47499911815106,2.8170822086718984e-67,0.24757827009580266,2
has_agent_phrase,245.31578774522552,5.37469134976661e-54,0.22150204863396886,2
has_by_in_window,244.48705263435878,8.134129307340003e-54,0.22112758879631406,2
aux_modal,185.95106115252582,4.1806144631761886e-41,0.19284763994020038,2
is_relcl_or_acl,165.27945959470074,1.288312922512462e-36,0.18181279360633604,2
clitic_present,161.7278032109714,7.607706466631287e-36,0.1798487159870603,2
subj_definite,311.8289143211963,3.040006869191265e-66,0.17658678158944863,3
coordination_harmony,277.5571857407398,7.493135295952207e-59,0.16660047591190721,3
mood,276.5922856601206,8.425949814510157e-57,0.1663106387637666,4
number,246.01934010998485,4.6885076220972535e-52,0.1568500366942848,3
aux_have,94.10038894571872,3.6843439602735255e-21,0.1371862886339001,2
negated,79.29367830059398,6.047787626506901e-18,0.12593147207953537,2
inside_quotes,53.70656172959609,2.1765482516251545e-12,0.10364030271047657,2
is_conjunct,31.187598192976346,1.6892701208103655e-07,0.0789779693243329,2
reporting_context,14.51596525864857,0.0007045278968510494,0.05388128665621965,2
aux_get,9.458537137650021,0.00883292935742985,0.04349376308771183,2
has_agent_by_pp,8.424735742070222,0.014811255640098603,0.04104810773244054,2
has_hedge_marker,7.724085160277506,0.021025010364998983,0.0393041604929491,2
