value,count,P_active,P_passive
MISSING,6156,0.5870695256660169,0.4129304743339831
I,1854,0.9838187702265372,0.016181229773462782
you,1306,0.9754977029096478,0.02450229709035222
we,893,0.9876819708846585,0.012318029115341545
they,541,0.922365988909427,0.07763401109057301
it,525,0.8476190476190476,0.1523809523809524
he,509,0.9214145383104125,0.07858546168958742
that,464,0.834051724137931,0.16594827586206898
she,295,0.9355932203389831,0.06440677966101695
who,182,0.9340659340659341,0.06593406593406594
which,154,0.8051948051948052,0.19480519480519481
this,119,0.8487394957983193,0.15126050420168066
person,119,0.9159663865546218,0.08403361344537816
one,53,0.9245283018867925,0.07547169811320754
study,31,0.7741935483870968,0.22580645161290322
thing,23,0.9130434782608695,0.08695652173913043
what,23,0.9130434782608695,0.08695652173913043
someone,23,1.0,0.0
guy,20,1.0,0.0
Holt,20,0.85,0.15
everyone,19,0.8947368421052632,0.10526315789473684
Wikinews,18,1.0,0.0
team,17,0.5882352941176471,0.4117647058823529
some,17,0.7058823529411765,0.29411764705882354
group,16,0.875,0.125
city,16,0.75,0.25
fact,16,0.875,0.125
question,14,0.7142857142857143,0.2857142857142857
mother,14,0.8571428571428571,0.14285714285714285
difference,14,0.7142857142857143,0.2857142857142857
government,14,1.0,0.0
Marbles,13,0.9230769230769231,0.07692307692307693
voice,13,0.8461538461538461,0.15384615384615385
Theodorus,13,0.9230769230769231,0.07692307692307693
child,13,0.8461538461538461,0.15384615384615385
system,13,0.6923076923076923,0.3076923076923077
man,13,0.6153846153846154,0.38461538461538464
result,12,0.6666666666666666,0.3333333333333333
Daniel,12,0.5833333333333334,0.4166666666666667
word,12,0.5833333333333334,0.4166666666666667
something,12,0.9166666666666666,0.08333333333333333
Padalecki,12,0.8333333333333334,0.16666666666666666
water,12,0.9166666666666666,0.08333333333333333
mom,12,1.0,0.0
ant,12,0.8333333333333334,0.16666666666666666
number,11,0.5454545454545454,0.45454545454545453
event,11,0.45454545454545453,0.5454545454545454
Montalvo,11,0.6363636363636364,0.36363636363636365
time,11,0.9090909090909091,0.09090909090909091
father,11,1.0,0.0
country,11,0.7272727272727273,0.2727272727272727
many,11,1.0,0.0
basil,10,0.8,0.2
brain,10,1.0,0.0
story,10,0.6,0.4
model,10,0.5,0.5
Nida,10,0.9,0.1
Łódź,10,0.6,0.4
Senate,10,1.0,0.0
right,10,0.5,0.5
woman,9,0.8888888888888888,0.1111111111111111
Fillmore,9,0.8888888888888888,0.1111111111111111
name,9,0.4444444444444444,0.5555555555555556
Jerome,9,0.7777777777777778,0.2222222222222222
human,9,0.6666666666666666,0.3333333333333333
Galois,9,0.8888888888888888,0.1111111111111111
Gordon,9,0.7777777777777778,0.2222222222222222
family,9,0.7777777777777778,0.2222222222222222
scientist,9,1.0,0.0
seeker,9,0.8888888888888888,0.1111111111111111
idea,9,0.5555555555555556,0.4444444444444444
wikiHow,9,1.0,0.0
Cara,9,1.0,0.0
world,9,0.8888888888888888,0.1111111111111111
street,9,0.5555555555555556,0.4444444444444444
area,9,0.6666666666666666,0.3333333333333333
all,9,1.0,0.0
lot,9,1.0,0.0
Fort,9,0.3333333333333333,0.6666666666666666
parent,9,1.0,0.0
site,9,1.0,0.0
Moreau,9,0.8888888888888888,0.1111111111111111
Pachomius,9,1.0,0.0
other,8,0.875,0.125
theory,8,0.5,0.5
L'Enfant,8,0.625,0.375
eye,8,0.75,0.25
hand,8,1.0,0.0
doctor,8,1.0,0.0
fan,8,0.5,0.5
interest,8,1.0,0.0
work,8,0.625,0.375
