feature,n_true,n_false,P(passive|true),P(passive|false)
verb_form_participle,4650,12640,0.5524731182795699,0.09003164556962025
verb_aspect,0,17290,,0.2144013880855986
is_modal,75,17215,0.013333333333333334,0.2152773743828057
is_aux_verb,1648,15642,0.7821601941747572,0.15458381281166092
subj_present,11134,6156,0.10463445302676487,0.4129304743339831
subj_is_pronoun,6997,10293,0.057596112619694155,0.32099485086952295
subj_is_proper,1001,16289,0.11188811188811189,0.22070108662287433
subject_is_animate_wn,6597,10693,0.0469910565408519,0.3176844664733938
obj_present,8042,9248,0.006093011688634668,0.39554498269896193
obj_is_pronoun,1873,15417,0.001601708489054992,0.24025426477265358
obj_is_proper,357,16933,0.025210084033613446,0.21839012578987776
object_is_animate_wn,1475,15815,0.002033898305084746,0.23420803035093266
negation,815,16475,0.11779141104294479,0.21918057663125948
is_root,6176,11114,0.10799870466321243,0.27352888249055246
is_relative_clause,1520,15770,0.10723684210526316,0.2247305009511731
has_aux_pass,2418,14872,1.0,0.08667294244217322
has_aux_have,803,16487,0.12702366127023662,0.21865712379450475
has_aux_be,2070,15220,0.6101449275362318,0.16057818659658343
has_aux_do,593,16697,0.0016863406408094434,0.2219560400071869
has_get_passive,23,17267,1.0,0.21335495453755718
has_perfect,803,16487,0.12702366127023662,0.21865712379450475
has_progressive,3187,14103,0.41073109507373706,0.17003474438062824
agent_present,301,16989,1.0,0.20048266525398786
nmod_present,0,17290,,0.2144013880855986
obl_present,5271,12019,0.24075128059191805,0.20284549463349696
advmod_present,4134,13156,0.15602322206095792,0.232745515354211
conj_present,1693,15597,0.11163614884819846,0.22555619670449445
cc_present,1908,15382,0.1090146750524109,0.2274736705239891
xcomp_present,1956,15334,0.10378323108384459,0.2285118038346159
ccomp_present,992,16298,0.021169354838709676,0.22616271935206775
has_xcomp_to,1068,16222,0.10018726591760299,0.2219208482307977
has_ccomp_that,334,16956,0.038922155688622756,0.21785798537390894
mark_present,3514,13776,0.08338076266363119,0.24782229965156793
particle_present,611,16679,0.11620294599018004,0.2179986809760777
has_expletive_subject,358,16932,0.04189944134078212,0.21804866524923222
has_nsubj,9974,7316,0.0005013033888109083,0.5060142154182613
has_nsubj_pass,1160,16130,1.0,0.15790452572845629
has_prep_by,377,16913,0.8169761273209549,0.20096966830248922
has_prep_with,431,16859,0.20185614849187936,0.21472210688652946
has_prep_for,479,16811,0.17536534446764093,0.2155136517756231
has_prep_to,651,16639,0.1674347158218126,0.216238956668069
has_prep_from,293,16997,0.18430034129692832,0.2149202800494205
has_prep_of,74,17216,0.24324324324324326,0.21427741635687733
has_prep_on,484,16806,0.24793388429752067,0.21343567773414257
has_prep_in,1332,15958,0.25900900900900903,0.21067802982829928
has_prep_at,356,16934,0.1797752808988764,0.21512932561710169
has_prep_as,250,17040,0.336,0.2126173708920188
sentence_has_question_mark,914,16376,0.13347921225382933,0.21891792867611137
sentence_has_exclamation,211,17079,0.10900473933649289,0.21570349552081503
sentence_has_semicolon,522,16768,0.2681992337164751,0.2127266221374046
sentence_has_quotes,1819,15471,0.22100054975261132,0.21362549285760454
verb_lemma_seen_before_in_doc,7837,9453,0.23810131427842288,0.19475298846926903
subject_seen_before_in_doc,7506,9784,0.07873701039168665,0.3184791496320523
object_seen_before_in_doc,3239,14051,0.002778635381290522,0.26318411500960787
